Table with row labels in columns A and B and column labels headers in rows 5 through 8.,,,
Table 1. State-to-State Migration Flows1: 2024 American Community Survey 1-Year Estimates,,,
Universe: Population 1 year and over,,,
,,,
Current residence,Residence 1 year ago2,Movers to current residence from residence 1 year ago,
,,,
,,,
,,Estimate,Margin of error3 (±)
Georgia,New Hampshire,404,459
Georgia,New Jersey,"6,770","2,580"
Georgia,New Mexico,"1,718","1,205"
Georgia,New York,"12,771","3,304"
Georgia,North Carolina,"15,283","2,967"
Georgia,North Dakota,0,232
Georgia,Ohio,"5,300","1,570"
Georgia,Oklahoma,"1,261","1,097"
Georgia,Oregon,"1,162",699
Georgia,Pennsylvania,"7,365","2,340"
Georgia,Rhode Island,0,232
Georgia,South Carolina,"16,878","4,012"
Georgia,South Dakota,N,N
Georgia,Tennessee,"10,017","2,556"
Georgia,Texas,"20,968","3,871"
Georgia,Utah,160,175
Georgia,Vermont,721,726
Georgia,Virginia,"10,298","3,734"
Georgia,Washington,"3,488","1,075"
Georgia,West Virginia,"1,195",974
Georgia,Wisconsin,"3,019","1,980"
Georgia,Wyoming,N,N
Georgia,Puerto Rico,"1,580",911
Georgia,U.S. Island Areas,"1,969","1,179"
Georgia,Foreign country,"82,376","9,381"
Hawaii,Alabama,466,636
Hawaii,Alaska,618,524
Hawaii,Arizona,"1,594",885
Hawaii,Arkansas,0,193
Hawaii,California,"10,516","2,445"
Hawaii,Colorado,"1,054",492
Hawaii,Connecticut,285,332
Hawaii,Delaware,0,193
Hawaii,District of Columbia ,0,193
Hawaii,Florida,"4,002","1,825"
Hawaii,Georgia,"1,810","1,496"
Hawaii,Hawaii,X,X
Hawaii,Idaho,345,319
Hawaii,Illinois,652,603
Hawaii,Indiana,N,N
Hawaii,Iowa,385,369
Hawaii,Kansas,535,564
Hawaii,Kentucky,265,268
Hawaii,Louisiana,0,193
Hawaii,Maine,528,541
Hawaii,Maryland,276,258
Hawaii,Massachusetts,386,322
Hawaii,Michigan,345,241
Hawaii,Minnesota,230,261
Hawaii,Mississippi,264,280
Hawaii,Missouri,"1,025",705
Hawaii,Montana,194,178
Hawaii,Nebraska,N,N
Hawaii,Nevada,"1,355",782
Hawaii,New Hampshire,420,556
Hawaii,New Jersey,952,663
Hawaii,New Mexico,N,N
Hawaii,New York,"1,595",700
Hawaii,North Carolina,"2,289","1,348"
Hawaii,North Dakota,0,193
Hawaii,Ohio,"1,287",971
Hawaii,Oklahoma,613,497
Hawaii,Oregon,821,426
Hawaii,Pennsylvania,"1,741","1,380"
Hawaii,Rhode Island,184,310
Hawaii,South Carolina,"1,213","1,054"
